ortho_id,classification,explanation
3765,CORRECT,"INCORRECT: The drone imagery footprint is visibly offset relative to the satellite basemap, with the forest canopy patterns not matching the underlying imagery and no street features available to confirm alignment."
3797,CORRECT,"CORRECT: The main diagonal road, left-side junction, and the curved spur road in the drone imagery align well with the streets basemap, with no obvious shift or rotation visible."
3851,CORRECT,"INCORRECT: In the satellite comparison the drone orthomosaic is clearly shifted/rotated relative to the underlying vegetation bands and clearings, and the mapped trails/stream on the streets basemap do not line up with visible paths in the drone image."
4035,CORRECT,"INCORRECT: The streets basemap shows only a single curving road and does not match the drone’s multiple internal roads/intersections, indicating the drone imagery is offset relative to the mapped road network."
4530,CORRECT,"INCORRECT: The streets basemap provides no road features to verify, and in the satellite comparison the drone imagery’s forest/clearing boundaries do not clearly match the underlying satellite texture, so alignment cannot be confirmed."
4784,CORRECT,"INCORRECT: The drone imagery is not aligned with the basemap, as the top road (Summer Hill Road), the eastern pond/water boundary, and the central-southern pond all do not match the corresponding streets/satellite features."
4838,CORRECT,"INCORRECT: The drone imagery shows field rows and a treeline while the streets/satellite basemaps depict largely uniform polygons/textures with no matching road or natural-feature boundaries, indicating the layers are not aligned to the same location."
4892,CORRECT,"INCORRECT: The drone imagery is clearly offset eastward relative to the basemap, with the mangrove shoreline and sandbar/islet positions not matching the streets/satellite water boundaries."
5088,CORRECT,"INCORRECT: The drone imagery is clearly misaligned because the fields, shoreline, and dirt track appear over open water/blank basemap areas instead of matching corresponding features."
4985,CORRECT,INCORRECT: The drone imagery is clearly misaligned because the visible road/drive in the upper-left and the central curved clearing do not match the positions of Howard Gap Road/Eagle Nest Lane and the corresponding satellite features.
5303,CORRECT,"INCORRECT: The streets basemap provides almost no usable road alignment cues and the satellite comparison shows the drone mine excavation footprint over mostly uniform terrain with no clear matching features, so the georeferencing cannot be confidently verified."
5092,CORRECT,"INCORRECT: The drone imagery is clearly offset from the basemap, with the field/shoreline area appearing over open water in the satellite comparison and no matching road features available in the streets layer."
5243,CORRECT,"INCORRECT: The drone imagery is visibly offset from the basemap, with the building and driveway on the right not matching the mapped road/building positions and the forest edge also inconsistent with the satellite background."
5496,CORRECT,"INCORRECT: The drone imagery is vertically offset from the basemap, with the forest–meadow boundary and tree patterns only matching the satellite image below a clear southward shift while the streets view offers no usable road alignment."
5572,CORRECT,"INCORRECT: The streets basemap road at the right edge does not correspond to any visible road in the drone imagery, and the forest canopy patterns in the satellite comparison do not consistently line up, indicating offset georeferencing."
559,CORRECT,"CORRECT: The curved forest road in the center-right and the field edge at the upper-right align closely with the basemap/satellite features, with no obvious shift or rotation visible."
5778,CORRECT,"CORRECT: The dashed road on the streets basemap matches the left-side dirt road in the drone imagery, and the curved road/tree patterns also align consistently with the satellite basemap."
5782,CORRECT,"INCORRECT: The drone imagery does not align with the basemaps, as the visible field/forest boundary and tree line in the ortho image are shifted relative to the satellite background, and the streets basemap provides no matching road features to confirm alignment."
5929,CORRECT,"INCORRECT: The drone imagery is severely misaligned because its internal road loop does not match the mapped/satellite Little Battle Mountain Road, which lies outside and to the right of the drone road throughout the scene."
608,CORRECT,"CORRECT: The drone imagery aligns well with the visible road junction in the upper left and the curving road in the lower right, and the forest/clearing boundaries also match the satellite basemap closely."
6384,CORRECT,"INCORRECT: The basemaps show no visible roads or natural features at this location while the drone image contains a distinct clearing/tracks and a road-like linear feature, so alignment cannot be verified and appears mismatched."
621,CORRECT,CORRECT: The drone imagery aligns with the curved road at the top/right (Klusenwaldweg) and matches the surrounding clearing/forest boundaries in the satellite view without any obvious shift or rotation.
6386,CORRECT,"INCORRECT: The reference basemap images are essentially blank, so there are no visible roads or natural features to verify alignment and the georeferencing cannot be confirmed."
6395,CORRECT,"CORRECT: The drone imagery aligns with the basemap shoreline/water boundary, with the southwest and southeast edges of the orthomosaic matching the same diagonal boundary seen in both the streets and satellite backgrounds."
6393,CORRECT,"INCORRECT: The drone ortho is clearly offset from the basemap, with the mapped water polygons sitting to the right/below the imagery while the drone area shows no matching alignment to those features or any visible street network."
6390,CORRECT,"INCORRECT: The drone imagery is clearly offset from the basemap, with visible tracks/roads in the ortho not matching any road features on the streets layer and the forest/clearing pattern not aligning with the satellite background."
6434,CORRECT,"INCORRECT: The drone road network does not line up with the streets basemap—the long north-south road in the basemap sits east of the main visible road/driveway in the orthophoto, indicating a clear horizontal offset."
6480,CORRECT,"CORRECT: The drone imagery aligns well with the basemap, with the main road junction near the top center and the southbound track through the forest matching the streets and satellite features consistently."
6731,CORRECT,"CORRECT: The drone imagery aligns well with the basemap, with East Columbus Drive and the central north-south driveway/intersection matching the streets layer and the building/lot edges lining up with the satellite background."
6458,CORRECT,"INCORRECT: The drone imagery is clearly offset from the basemap, with the visible roads/tracks in the orthophoto not matching the mapped road network and the forest/road positions in the satellite comparison also displaced."
6602,CORRECT,"INCORRECT: The drone imagery is clearly offset from the basemap, with the diagonal road in the drone layer not matching the roads shown on the streets basemap and the forest/road pattern also not aligning with the satellite background."
6779,CORRECT,INCORRECT: The basemaps show no matching roads or site features at all—only blank/texture background—so the drone imagery is clearly not aligned to the underlying map location.
6924,CORRECT,"INCORRECT: The drone imagery is clearly misaligned because the rocky river/water channel is overlaid across forest and field areas in the satellite basemap, and there are no matching road or feature correspondences on the streets layer."
6936,CORRECT,"INCORRECT: The drone imagery is clearly offset from the basemap, with the road on Rue de Bernival running through the gap between the two orthomosaic strips instead of aligning with any visible road or field boundary in the drone layer."
6929,CORRECT,"INCORRECT: The drone coastline, beach, buildings, and rock platform are overlaid on inland road/field basemaps, showing a gross positional mismatch rather than alignment."
70,CORRECT,"INCORRECT: The drone imagery is clearly offset from the basemap, with the forest patch and the small road segment at the lower-left appearing only within the drone overlay while the streets and satellite basemaps show those features elsewhere or not underneath it."
7374,CORRECT,"INCORRECT: The drone imagery is shifted east of the basemap, with the central tree/ditch corridor and right-side field edge not lining up with the satellite features, and no road in the drone strip matching the mapped road on the streets layer."
7236,CORRECT,"INCORRECT: The drone strip shows roads/clearings and a pink cleared area over a satellite basemap that is continuous dense forest with no matching features, indicating a major georeferencing offset."
7326,CORRECT,"CORRECT: The drone imagery aligns well with the streets basemap, with the main south road, internal grid intersections, and the northern edge road all matching consistently, and the field/stream boundaries also broadly coincide in the satellite comparison."
7479,CORRECT,"CORRECT: The drone imagery aligns well with Cap-de-Ville Road, the curved coastal road/intersections, and the shoreline/field boundaries, with no obvious shift or rotation relative to the basemaps."
7676,CORRECT,"INCORRECT: The drone imagery is noticeably shifted northwest of the basemap, with the wooded corridor and field boundaries not matching the underlying satellite features and no confirming road alignment visible."
7844,CORRECT,"INCORRECT: The drone ortho is clearly offset/rotated relative to the basemap, with the coastal road, intersections, and industrial complex not lining up with the mapped highway and surrounding features."
7893,CORRECT,"INCORRECT: The drone imagery is clearly misaligned because major built features and roads do not match the basemap/satellite position, with the large circular building and surrounding parking/road network appearing in very different locations."
